index,original_title,overview,release_date,title,cast,director,genres,imdb_title_id,keywords
293,Where the Wild Things Are,"Max imagines running away from his mom and sailing to a far-off land where large talking beasts -- Ira, Carol, Douglas, the Bull, Judith and Alexander -- crown him as their king, play rumpus, build forts and discover secret hideaways.",2009-10-16,Where the Wild Things Are,Max Records Catherine Keener Lauren Ambrose James Gandolfini Catherine O'Hara,Spike Jonze,Family Fantasy,tt0386117,children's book igloo wolf costume swallowed whole hit with a rock
294,Epic,A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group characters in order to save their world -- and ours.,2013-05-15,Epic,Josh Hutcherson Amanda Seyfried Colin Farrell Jason Sudeikis Aziz Ansari,Chris Wedge,Animation Adventure Family Fantasy,tt0848537,fantasy miniature people
295,The Tourist,"American tourist Frank (Johnny Depp) meets mysterious British woman Elsie (Angelina Jolie) on the train to Venice. Romance seems to bud, but there's more to her than meets the eye. Remake of the 2005 French film ""Anthony Zimmer"", written and directed by Jérôme Salle.",2010-12-08,The Tourist,Johnny Depp Angelina Jolie Paul Bettany Timothy Dalton Steven Berkoff,Florian Henckel von Donnersmarck,Action Thriller Romance,tt1243957,paris hotel false identity undercover agent romance
296,End of Days,"On December 28th, 1999, the citizens of New York City are getting ready for the turn of the millennium. However, the Devil decides to crash the party by coming to the city, inhabiting a man's body, and searching for his chosen bride, a 20-year-old woman named Christine York. The world will end, and the only hope lies within an atheist called Jericho Cane.",1999-11-24,End of Days,Arnold Schwarzenegger Gabriel Byrne Kevin Pollak Robin Tunney CCH Pounder,Peter Hyams,Action Fantasy Horror Mystery,tt0146675,christianity sex new year's eve pastor nudity
297,Blood Diamond,"An ex-mercenary turned smuggler. A Mende fisherman. Amid the explosive civil war overtaking 1999 Sierra Leone, these men join for two desperate missions: recovering a rare pink diamond of immense value and rescuing the fisherman's son conscripted as a child soldier into the brutal rebel forces ripping a swath of torture and bloodshed countrywide.",2006-12-07,Blood Diamond,Leonardo DiCaprio Djimon Hounsou Jennifer Connelly Kagiso Kuypers Arnold Vosloo,Edward Zwick,Drama Thriller Action,tt0450259,rebel journalist journalism loss of family slavery
298,The Wolf of Wall Street,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",2013-12-25,The Wolf of Wall Street,Leonardo DiCaprio Jonah Hill Margot Robbie Kyle Chandler Rob Reiner,Martin Scorsese,Crime Drama Comedy,tt0993846,corruption sex sexuality bank humor
299,Batman Forever,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.",1995-05-31,Batman Forever,Val Kilmer Tommy Lee Jones Jim Carrey Nicole Kidman Chris O'Donnell,Joel Schumacher,Action Crime Fantasy,tt0112462,riddle dc comics rose gotham city partner
300,Starship Troopers,"Set in the future, the story follows a young soldier named Johnny Rico and his exploits in the Mobile Infantry. Rico's military career progresses from recruit to non-commissioned officer and finally to officer against the backdrop of an interstellar war between mankind and an arachnoid species known as ""the Bugs"".",1997-11-06,Starship Troopers,Casper Van Dien Dina Meyer Denise Richards Jake Busey Neil Patrick Harris,Paul Verhoeven,Adventure Action Thriller Science Fiction,tt0120201,moon asteroid space marine intelligence buenos aires
301,Cloud Atlas,"A set of six nested stories spanning time between the 19th century and a distant post-apocalyptic future. Cloud Atlas explores how the actions and consequences of individual lives impact one another throughout the past, the present and the future. Action, mystery and romance weave through the story as one soul is shaped from a killer into a hero and a single act of kindness ripples across centuries to inspire a revolution in the distant future.  Based on the award winning novel by David Mitchell. Directed by Tom Tykwer and the Wachowskis.",2012-10-26,Cloud Atlas,Tom Hanks Halle Berry Jim Broadbent Hugo Weaving Jim Sturgess,Tom Tykwer,Drama Science Fiction,tt1371111,clone future dystopia ensemble cast duringcreditsstinger
302,Legend of the Guardians: The Owls of Ga'Hoole,"Soren, a young barn owl, is kidnapped by owls of St. Aggie's, ostensibly an orphanage, where owlets are brainwashed into becoming soldiers. He and his new friends escape to the island of Ga'Hoole, to assist its noble, wise owls who fight the army being created by the wicked rulers of St. Aggie's. The film is based on the first three books in the series.",2010-07-10,Legend of the Guardians: The Owls of Ga'Hoole,Emily Barclay Abbie Cornish Essie Davis Joel Edgerton Deborra-Lee Furness,Zack Snyder,Animation Adventure Family Fantasy,tt1219342,owl
303,Catwoman,"Liquidated after discovering a corporate conspiracy, mild-mannered graphic artist Patience Phillips washes up on an island, where she's resurrected and endowed with the prowess of a cat -- and she's eager to use her new skills ... as a vigilante. Before you can say ""cat and mouse,"" handsome gumshoe Tom Lone is on her tail.",2004-07-22,Catwoman,Halle Berry Benjamin Bratt Sharon Stone Lambert Wilson Frances Conroy,Pitof,Action Crime,tt0327554,white russian sex dc comics beauty sexism
304,Hercules,"Fourteen hundred years ago, a tormented soul walked the earth that was neither man nor god. Hercules was the powerful son of the god king Zeus, for this he received nothing but suffering his entire life. After twelve arduous labors and the loss of his family, this dark, world-weary soul turned his back on the gods finding his only solace in bloody battle. Over the years he warmed to the company of six similar souls, their only bond being their love of fighting and presence of death. These men and woman never question where they go to fight or why or whom, just how much they will be paid. Now the King of Thrace has hired these mercenaries to train his men to become the greatest army of all time. It is time for this bunch of lost souls to finally have their eyes opened to how far they have fallen when they must train an army to become as ruthless and blood thirsty as their reputation has become.",2014-07-23,Hercules,Dwayne Johnson Ian McShane John Hurt Rufus Sewell Aksel Hennie,Brett Ratner,Action Adventure,tt0085672,mercenary battle ancient greece hercules warrior
305,Treasure Planet,"When space galleon cabin boy Jim Hawkins discovers a map to an intergalactic ""loot of a thousand worlds,"" a cyborg cook named John Silver teaches him to battle supernovas and space storms. But, soon, Jim realizes Silver is a pirate intent on mutiny!",2002-11-26,Treasure Planet,Joseph Gordon-Levitt Brian Murray David Hyde Pierce Emma Thompson Michael Wincott,Ron Clements,Adventure Animation Family Fantasy Science Fiction,tt0133240,cyborg based on novel space marine mutiny loss of father
306,Land of the Lost,"On his latest expedition, Dr. Rick Marshall is sucked into a space-time vortex alongside his research assistant and a redneck survivalist. In this alternate universe, the trio make friends with a primate named Chaka, their only ally in a world full of dinosaurs and other fantastic creatures.",2009-06-05,Land of the Lost,Will Ferrell Anna Friel Danny McBride Jorma Taccone Matt Lauer,Brad Silberling,Adventure Comedy Science Fiction,tt0457400,alien life-form dinosaur primate duringcreditsstinger
307,The Expendables 3,"Barney, Christmas and the rest of the team comes face-to-face with Conrad Stonebanks, who years ago co-founded The Expendables with Barney. Stonebanks subsequently became a ruthless arms trader and someone who Barney was forced to kill… or so he thought. Stonebanks, who eluded death once before, now is making it his mission to end The Expendables -- but Barney has other plans. Barney decides that he has to fight old blood with new blood, and brings in a new era of Expendables team members, recruiting individuals who are younger, faster and more tech-savvy. The latest mission becomes a clash of classic old-school style versus high-tech expertise in the Expendables’ most personal battle yet.",2014-08-04,The Expendables 3,Sylvester Stallone Jason Statham Harrison Ford Arnold Schwarzenegger Mel Gibson,Patrick Hughes,Action Adventure Thriller,tt2333784,cia arms dealer sequel rescue mission hospital
308,Point Break,"A young undercover FBI agent infiltrates a gang of thieves who share a common interest in extreme sports. A remake of the 1991 film, ""Point Break"".",2015-12-03,Point Break,Edgar Ram\u00edrez Luke Bracey Teresa Palmer Delroy Lindo Ray Winstone,Ericson Core,Action Crime Thriller,tt0102685,undercover undercover agent extreme sports fbi agent 3d
309,Son of the Mask,"Tim Avery, an aspiring cartoonist, finds himself in a predicament when his dog stumbles upon the mask of Loki. Then after conceiving an infant son ""born of the mask"", he discovers just how looney child raising can be.",2005-02-18,Son of the Mask,Jamie Kennedy Alan Cumming Traylor Howard Kal Penn Steven Wright,Lawrence Guterman,Fantasy Comedy Family Adventure,tt0362165,baby mask viking
310,In the Heart of the Sea,"In the winter of 1820, the New England whaling ship Essex was assaulted by something no one could believe: a whale of mammoth size and will, and an almost human sense of vengeance.  The real-life maritime disaster would inspire Herman Melville’s Moby Dick.  But that told only half the story.  “Heart of the Sea” reveals the encounter’s harrowing aftermath, as the ship’s surviving crew is pushed to their limits and forced to do the unthinkable to stay alive.  Braving storms, starvation, panic and despair, the men will call into question their deepest beliefs, from the value of their lives to the morality of their trade, as their captain searches for direction on the open sea and his first mate still seeks to bring the great whale down.",2015-11-20,In the Heart of the Sea,Chris Hemsworth Benjamin Walker Cillian Murphy Brendan Gleeson Ben Whishaw,Ron Howard,Thriller Drama Adventure Action History,tt1390411,suicide ocean sea hunger shipwreck
